127.0.0.1 - - [26/Jun/2021:16:21:40 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:21:41 +0530] "GET /springmvc/ HTTP/1.1" 200 1677
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:21:41 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:21:46 +0530] "GET /springmvc/movie? HTTP/1.1" 200 96955
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:21:51 +0530] "GET /springmvc/sports? HTTP/1.1" 200 36404
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:21:54 +0530] "GET /springmvc/food? HTTP/1.1" 200 56815
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:21:58 +0530] "GET /springmvc/movie? HTTP/1.1" 200 96955
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:22:38 +0530] "GET /springmvc/sports? HTTP/1.1" 200 36404
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:22:40 +0530] "GET /springmvc/food? HTTP/1.1" 200 56815
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:22:42 +0530] "GET /springmvc/movie? HTTP/1.1" 200 96955
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:23:39 +0530] "GET /springmvc/sports? HTTP/1.1" 200 36404
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:23:41 +0530] "GET /springmvc/food? HTTP/1.1" 200 56815
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:23:44 +0530] "GET /springmvc/movie? HTTP/1.1" 200 96955
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:26:07 +0530] "GET /springmvc/movie? HTTP/1.1" 200 96955
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:26:08 +0530] "GET /springmvc/sports? HTTP/1.1" 200 36404
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:26:12 +0530] "GET /springmvc/food? HTTP/1.1" 200 56815
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:26:13 +0530] "GET /springmvc/movie? HTTP/1.1" 200 96955
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:27:31 +0530] "GET /springmvc/movie? HTTP/1.1" 200 96955
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:27:32 +0530] "GET /springmvc/sports? HTTP/1.1" 200 36404
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:27:33 +0530] "GET /springmvc/food? HTTP/1.1" 200 56815
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:27:35 +0530] "GET /springmvc/movie? HTTP/1.1" 200 96955
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:27:41 +0530] "GET /springmvc/movie? HTTP/1.1" 200 96955
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:27:42 +0530] "GET /springmvc/sports? HTTP/1.1" 200 36404
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:27:44 +0530] "GET /springmvc/food? HTTP/1.1" 200 56815
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:27:45 +0530] "GET /springmvc/movie? HTTP/1.1" 200 96955
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:32:39 +0530] "GET /springmvc/sports? HTTP/1.1" 200 36404
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:32:43 +0530] "GET /springmvc/food? HTTP/1.1" 200 56815
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:32:47 +0530] "GET /springmvc/movie? HTTP/1.1" 200 96955
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:34:10 +0530] "GET /springmvc/movie? HTTP/1.1" 200 96955
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:34:11 +0530] "GET /springmvc/sports? HTTP/1.1" 200 36404
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:34:12 +0530] "GET /springmvc/food? HTTP/1.1" 200 56815
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:34:25 +0530] "GET /springmvc/movie? HTTP/1.1" 200 96955
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:34:26 +0530] "GET /springmvc/sports? HTTP/1.1" 200 36404
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:34:27 +0530] "GET /springmvc/food? HTTP/1.1" 200 56815
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:34:28 +0530] "GET /springmvc/movie? HTTP/1.1" 200 96955
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:37:08 +0530] "GET /springmvc/movie? HTTP/1.1" 200 96955
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:37:13 +0530] "GET /springmvc/sports? HTTP/1.1" 200 36404
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:37:15 +0530] "GET /springmvc/food? HTTP/1.1" 200 56815
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:37:16 +0530] "GET /springmvc/movie? HTTP/1.1" 200 96955
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:37:23 +0530] "GET /springmvc/sports? HTTP/1.1" 200 36404
